Project,Last_Activity,Contributors,Stargazers
amarh/openPLM/,2024-11-11 17:15:09+00:00,0.0,27.0
amidos2006/Automatic-Game-Script-Generation/,2024-01-11 22:23:44+00:00,1.0,1.0
amiq-consulting/svaunit/,2024-06-28 21:15:06+00:00,1.0,73.0
AndreMarvell/Uno/,2024-10-17 10:26:53+00:00,1.0,1.0
andrenho/luisavm/,2024-11-09 16:56:09+00:00,1.0,1.0
andrenho/newhope/,2024-11-09 16:42:44+00:00,1.0,1.0
andrenho/perminal/,2024-11-09 16:47:23+00:00,1.0,0.0
andresrosso/proyectogrado-docs/,2024-08-01 22:32:58+00:00,1.0,15.0
Andresteve07/FINAL_AyED/,2024-10-18 03:46:57+00:00,1.0,2.0
andrewlord1990/resonance-game/,2024-09-27 19:43:46+00:00,1.0,3.0
animatedb/oovaide/,2024-06-30 13:55:28+00:00,1.0,155.0
anosenzo/correctorDeParciales/,2023-12-28 04:03:07+00:00,1.0,0.0
antgerasim/NLayerAppV2/,2024-09-08 05:23:46+00:00,1.0,50.0
anthonycorbacho/Epitech_project/,2024-10-26 09:12:03+00:00,1.0,4.0
anycmd/anycmd/,2024-10-13 16:02:54+00:00,1.0,95.0
apache/zetacomponents/,2024-10-31 00:41:03+00:00,1.0,46.0
APIOps/apiops-model/,2024-07-19 09:56:08+00:00,1.0,6.0
APmoss/CribbageMobile/,2024-06-11 22:54:37+00:00,0.0,1.0
AresS31/distributed-chat/,2024-08-12 19:18:29+00:00,1.0,4.0
AresS31/GLPI/,2024-08-12 19:18:28+00:00,1.0,2.0
Aridane/underwater_map_construction/,2024-10-23 03:50:50+00:00,1.0,7.0
artifacthealth/typedoc-plantuml/,2024-08-12 10:50:37+00:00,1.0,15.0
asciiphil/greenbutton-python/,2024-05-31 18:38:49+00:00,1.0,12.0
ashish1294/PersonalWebsite/,2024-07-30 11:16:50+00:00,1.0,22.0
askpt/ExpenseManager/,2024-07-23 13:42:43+00:00,1.0,2.0
athiasjerome/XORCISM/,2024-06-19 18:25:44+00:00,1.0,23.0
atlanmod/fREX/,2024-02-18 07:57:07+00:00,1.0,1.0
atoader/HilbertRTree/,2024-08-27 02:06:41+00:00,1.0,31.0
badqiu/rapid-framework/,2024-07-24 09:58:37+00:00,0.0,36.0
barancev/java_pft/,2024-01-20 06:35:35+00:00,1.0,11.0
barnhill/BloodSpider/,2023-11-26 00:36:03+00:00,1.0,3.0
barrybecker4/bb4-simulations/,2024-11-12 18:15:25+00:00,1.0,5.0
benfowler/dancing-links/,2024-11-04 17:40:37+00:00,1.0,25.0
benmfaul/XRTB/,2024-05-17 07:27:22+00:00,1.0,121.0
bentearadu/UDS_Lear/,2024-05-31 20:37:46+00:00,1.0,7.0
BeQuietLee/bequietlee.github.io/,2024-05-27 12:20:41+00:00,1.0,1.0
berlinbrown/berlinbrown.github.com/,2024-09-20 07:53:52+00:00,1.0,2.0
berlinbrown/jvmnotebook/,2024-08-17 22:12:24+00:00,1.0,5.0
berlinbrown/openbotlist/,2024-08-17 22:11:57+00:00,1.0,2.0
Bernardo-MG/docs-bootstrap-template/,2024-09-17 18:50:57+00:00,1.0,2.0
bestplay9384/LTE-Sim-Simulator/,2024-03-16 15:53:15+00:00,1.0,0.0
bibekdahal/8085-simulator/,2024-08-08 16:59:42+00:00,1.0,17.0
BillKrat/Framework/,2024-11-09 23:50:51+00:00,0.0,0.0
bing-jian/gmmreg/,2024-10-11 08:07:34+00:00,1.0,299.0
BirgPublicizer/Metabolomics-Analysis-Toolbox/,2024-03-13 05:29:51+00:00,1.0,6.0
BKcore/JungleIN/,2024-01-11 10:15:19+00:00,1.0,92.0
bootchk/pensool/,2024-08-27 18:42:08+00:00,1.0,13.0
borismus/smus.com/,2024-10-28 18:47:18+00:00,1.0,5.0
braider/bluejam/,2024-05-22 21:02:35+00:00,1.0,0.0
briancain/Masters-Report/,2024-09-04 08:52:41+00:00,1.0,1.0
bruceoutdoors/Intro-Design-Patterns-Cpp-Qt5/,2024-10-05 02:57:56+00:00,1.0,147.0
btpka3/btpka3.github.com/,2024-10-11 12:36:27+00:00,1.0,16.0
caiofior/fioriechiavi.it/,2024-06-06 14:58:03+00:00,0.0,2.0
can-eth-gw/can_eth_gw/,2024-09-17 21:36:33+00:00,1.0,15.0
carloslfu/blocklify/,2024-08-31 03:30:47+00:00,1.0,65.0
castrinho8/ATM_network_simulator/,2024-10-10 16:34:38+00:00,1.0,2.0
cazares/cazares.github.com/,2024-10-24 12:07:23+00:00,1.0,0.0
cbaatz/purescript-intro/,2024-06-18 20:27:11+00:00,1.0,8.0
cbardon/clementbardon.com/,2024-09-07 04:57:48+00:00,1.0,1.0
ccompiler4pic32/pic32-gcc/,2024-09-05 15:38:44+00:00,1.0,8.0
cechrist/cardoon/,2023-12-12 07:22:06+00:00,1.0,13.0
cflowe/ACE/,2024-08-11 08:10:47+00:00,1.0,53.0
chakrit/pjsip/,2024-02-06 13:51:04+00:00,0.0,55.0
cheyiliu/All-in-One/,2024-06-15 08:39:35+00:00,1.0,218.0
chmduquesne/blog/,2024-08-24 22:54:14+00:00,1.0,2.0
ChrisCummins/pip-db/,2024-07-04 00:34:57+00:00,1.0,4.0
chrishowejones/presentations/,2024-05-01 09:59:18+00:00,1.0,0.0
chuxi/chuxi.github.io/,2024-02-06 15:07:07+00:00,1.0,0.0
cjferba/Poker/,2024-09-21 05:38:06+00:00,1.0,2.0
ckaestne/CIDE/,2024-01-13 23:50:07+00:00,1.0,9.0
claranobre/coffemachine/,2024-06-23 16:32:30+00:00,1.0,0.0
cleinias/Homeo/,2023-11-23 16:45:54+00:00,1.0,6.0
clem1/segvault/,2024-08-12 19:19:09+00:00,1.0,30.0
CM-Huawei/Source_MT6582/,2024-09-30 09:55:30+00:00,1.0,13.0
cmoylan/dotfiles/,2024-10-18 15:43:11+00:00,1.0,2.0
Ryp/PSPgames/,2024-05-06 21:51:07+00:00,0.0,3.0
samchen2009/android_uml/,2024-08-09 04:29:14+00:00,1.0,183.0
sanjayankur31/bionav/,2024-04-07 18:55:09+00:00,1.0,3.0
saravanacp/secureshareme/,2024-04-29 19:20:47+00:00,1.0,6.0
Satius/qt5/,2024-08-25 01:25:32+00:00,0.0,13.0
Scale-VerCors/VCEv4/,2024-10-29 10:54:49+00:00,1.0,6.0
seedstack/seedstack.github.io/,2024-10-25 15:37:45+00:00,0.0,1.0
sghiassy/Code-Reading-Book/,2024-06-08 03:45:56+00:00,1.0,56.0
shadowmick1/swtor-emu/,2024-07-24 23:26:08+00:00,0.0,9.0
shangerxin/BookNotes/,2024-10-18 08:34:58+00:00,1.0,28.0
shigeya/omnetpp/,2024-09-16 20:16:20+00:00,1.0,14.0
shivajid/atlas/,2023-11-24 12:30:29+00:00,1.0,30.0
shnizelsh/halftoning-evaluator/,2024-01-17 17:10:02+00:00,1.0,2.0
shonenada/think-python/,2024-06-02 02:47:23+00:00,1.0,8.0
shurcooL/eX0/,2024-09-14 01:27:20+00:00,1.0,50.0
sikoried/jstk/,2024-11-11 16:46:45+00:00,1.0,11.0
sillsdev/lift-standard/,2024-02-06 18:50:31+00:00,1.0,6.0
sirrice/6092/,2024-09-06 08:02:40+00:00,1.0,4.0
SixByNine/pulsarhunter/,2024-08-26 10:00:43+00:00,1.0,3.0
SixK/CC1101-X2D-Heaters/,2023-12-06 22:25:44+00:00,1.0,10.0
skarllot/magmanager/,2024-01-26 01:06:15+00:00,1.0,0.0
skarpenko/cwtlib/,2024-04-01 14:35:02+00:00,1.0,13.0
skython/eXe/,2023-12-25 11:33:33+00:00,0.0,8.0
slowli/software-engineering-lectures/,2023-11-29 11:35:07+00:00,1.0,4.0
smallnest/smallnest.github.io/,2024-10-27 03:52:24+00:00,1.0,17.0
sountex/COPTD/,2024-07-02 07:47:54+00:00,1.0,19.0
sprossiter/JSIT/,2024-08-26 23:12:56+00:00,1.0,2.0
srgblnch/python-pylon/,2024-01-24 03:45:04+00:00,1.0,18.0
ssorj/transom/,2024-11-14 16:26:03+00:00,1.0,0.0
st4sik/Lab_1/,2024-02-06 15:06:27+00:00,1.0,0.0
stanislav-web/Searcher/,2023-12-22 03:36:54+00:00,1.0,25.0
stateforge/StateBuilder/,2024-04-02 06:19:28+00:00,1.0,33.0
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0
stefanmuenchow/Smart-Collections/,2024-03-31 14:11:51+00:00,0.0,2.0
stefanobettinelli/DLA-simulations/,2024-07-31 22:15:47+00:00,0.0,0.0
stefanoborini/modelviewcontroller-src/,2024-07-16 04:51:11+00:00,1.0,37.0
stephanhoekstra/clean-architecture/,2024-10-21 09:53:10+00:00,1.0,88.0
stevenalexander/docker-authentication-authorisation/,2024-08-22 01:27:50+00:00,1.0,47.0
streambuf/recognition_numbers/,2024-04-16 11:26:55+00:00,1.0,12.0
StuartGordonReid/r4nd0m/,2024-04-07 23:30:40+00:00,1.0,113.0
suan/mirlite/,2024-06-04 11:05:44+00:00,1.0,7.0
sumdog/assignments/,2024-10-17 02:46:02+00:00,0.0,6.0
sungsoo/sungsoo.github.com/,2024-11-14 04:32:33+00:00,1.0,30.0
surki/hipl/,2024-10-25 03:10:39+00:00,1.0,8.0
svn2github/pjsip/,2024-08-29 12:21:52+00:00,0.0,6.0
svstuff/systemverilog/,2024-09-28 22:23:17+00:00,1.0,12.0
swmuir/fhims/,2024-10-31 12:35:57+00:00,1.0,0.0
taichi/umlbot/,2024-08-16 12:24:30+00:00,1.0,59.0
tanure/ExemploMVP/,2024-01-16 12:38:06+00:00,1.0,2.0
tarbrain/TBStateMachine/,2024-02-13 10:47:56+00:00,1.0,49.0
tazzledazzle/UW-CSS/,2024-03-02 12:42:33+00:00,1.0,4.0
tcs-ulli/fpvectorial/,2024-10-02 11:08:07+00:00,1.0,2.0
TestingTechnologies/TTmodeler/,2024-05-01 09:49:19+00:00,0.0,4.0
thalerjonathan/Masterthesis/,2024-08-31 06:40:34+00:00,1.0,0.0
TheAxeC/AxeSki/,2024-07-09 08:39:35+00:00,1.0,1.0
TheJeremyGray/FileWatcherService/,2024-08-01 13:59:05+00:00,1.0,4.0
thethythy/Mnemopwd/,2024-06-13 13:39:13+00:00,1.0,0.0
thinkingl/thinkingl-code-lib/,2024-10-08 09:13:55+00:00,1.0,8.0
thinkingmedia/find2cards/,2024-03-31 20:41:55+00:00,0.0,0.0
thomsmits/markdown-tools/,2024-09-24 19:45:06+00:00,1.0,15.0
threetee/ruote-rails-example/,2024-02-21 09:44:19+00:00,0.0,24.0
thuandt/final_project/,2024-09-14 18:19:15+00:00,1.0,6.0
TiBeN/Framework/,2024-04-25 09:37:10+00:00,1.0,1.0
tildedave/davehking.com/,2024-09-10 18:53:23+00:00,1.0,1.0
timmwagener/tw_cloth_solver/,2023-12-15 09:04:50+00:00,1.0,30.0
tlgimenes/X-CubeSat/,2024-02-12 10:18:50+00:00,1.0,7.0
tlin-fei/ds4p/,2024-01-13 23:52:04+00:00,0.0,1.0
TomasMikula/tomasmikula.github.io/,2024-11-08 13:01:54+00:00,1.0,0.0
TomLefley/Dissertation/,2024-05-08 13:13:07+00:00,1.0,0.0
treble-snake/gson.dwarves/,2024-08-07 14:41:32+00:00,1.0,8.0
tuomas2/automate/,2024-11-07 09:02:56+00:00,1.0,26.0
ua-eas/ua-rice-2.1.9/,2024-03-14 23:47:33+00:00,0.0,0.0
UCLGuichard/SocialForceModel/,2024-09-26 12:14:36+00:00,0.0,16.0
uin3566/GoBang/,2024-10-21 19:20:58+00:00,1.0,129.0
UnboundID/ldapsdk/,2024-11-13 22:03:09+00:00,1.0,338.0
unnikkedtk/unnikkedtk.github.io/,2024-06-03 15:02:43+00:00,1.0,0.0
urielbautista/dev/,2024-04-14 01:03:38+00:00,0.0,0.0
UrsZeidler/uml2solidity/,2024-04-17 16:03:40+00:00,1.0,37.0
uwitec/supermarket-management-system-lx/,2024-06-15 06:36:45+00:00,0.0,33.0
vanburg/ru/,2024-10-08 15:48:08+00:00,1.0,0.0
Vdragon/NTOU_CPP_Lab_Opensource_Project/,2024-03-19 13:36:53+00:00,0.0,3.0
venam/blog/,2024-09-09 06:35:06+00:00,1.0,2.0
vijayakumarsuraj/UIAutomation/,2024-09-05 07:39:03+00:00,1.0,20.0
vimaier/conqat/,2024-06-26 16:58:46+00:00,0.0,7.0
vincentfung13/TwitterRepManagement/,2024-01-19 06:00:28+00:00,1.0,2.0
virgo47/restful-spring-security/,2024-10-21 01:49:51+00:00,1.0,229.0
vitormota/AIAD_TP01/,2024-02-26 22:34:19+00:00,1.0,0.0
vonSchmidt/ConnectFour/,2024-05-13 01:56:20+00:00,0.0,2.0
vrobic/comptes/,2024-10-08 17:21:07+00:00,1.0,9.0
wanghaisheng/fhir-in-action/,2024-08-22 12:57:56+00:00,1.0,6.0
webgme/sysml/,2024-07-13 18:09:23+00:00,1.0,22.0
wenxueliu/draft/,2024-04-03 04:00:58+00:00,1.0,9.0
wesen/nmedit/,2024-05-22 09:01:16+00:00,1.0,14.0
whs/ske11-lecture/,2024-08-21 02:23:52+00:00,1.0,6.0
williballenthin/williballenthin.com/,2024-10-09 13:48:40+00:00,1.0,2.0
wjw465150/Pro-Git-Chinese/,2024-05-28 04:13:03+00:00,1.0,6.0
wolandscat/EOMF/,2024-10-08 00:35:00+00:00,1.0,6.0
wooknight/phpcallgraph/,2024-11-14 12:20:17+00:00,1.0,38.0
wp-plugins/richtexteditor/,2024-03-01 14:57:10+00:00,0.0,0.0
wristware/iso8583/,2023-11-27 20:23:59+00:00,1.0,3.0
wwj718/wwj718.github.io/,2024-11-14 06:45:00+00:00,1.0,12.0
wyon/note/,2024-08-23 06:52:12+00:00,1.0,0.0
