Original_Files,Duplicate_Files,Duplicate?
class_diagrams/shigeya/omnetpp//classcResultRecorderDescriptor.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcResultRecorderDescriptor.png,TRUE
class_diagrams/shigeya/omnetpp//classcRNG.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcRNG.png,TRUE
class_diagrams/shigeya/omnetpp//classcRunnableEnvir.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcRunnableEnvir.png,TRUE
class_diagrams/shigeya/omnetpp//classcRuntimeError.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcRuntimeError.png,TRUE
class_diagrams/shigeya/omnetpp//classcScheduler.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcScheduler.png,TRUE
class_diagrams/shigeya/omnetpp//classcSequentialScheduler.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcSequentialScheduler.png,TRUE
class_diagrams/shigeya/omnetpp//classcSimpleModule.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcSimpleModule.png,TRUE
class_diagrams/shigeya/omnetpp//classcSimulation.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcSimulation.png,TRUE
class_diagrams/shigeya/omnetpp//classcSnapshotManager.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcSnapshotManager.png,TRUE
class_diagrams/shigeya/omnetpp//classcStackCleanupException.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcStackCleanupException.png,TRUE
class_diagrams/shigeya/omnetpp//classcStatistic.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcStatistic.png,TRUE
class_diagrams/shigeya/omnetpp//classcStdDev.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcStdDev.png,TRUE
class_diagrams/shigeya/omnetpp//classcStringParImpl.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcStringParImpl.png,TRUE
class_diagrams/shigeya/omnetpp//classcSubModIterator.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcSubModIterator.png,TRUE
class_diagrams/shigeya/omnetpp//classcTDExpandingWindows.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcTDExpandingWindows.png,TRUE
class_diagrams/shigeya/omnetpp//classcTerminationException.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcTerminationException.png,TRUE
