Project,Last_Activity,Contributors,Stargazers,UML_Files_Length,Lines_of_Code,UML_LOC_ratio_scaled,UML_File
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/316.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/318.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/322.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/324.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/328.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/338.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/341.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/355.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/356.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/357.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/358.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/359.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/361.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/363.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/368.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/369.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/372.jpg
