repo,stargazers_count,GitHub URL,Total number of UML files,No. of .uml,No. of .xmi,No. of .svg,No. of .png,No. of .jpeg,No. of .bmp,No. of .jpg,No. of .gif,Model Link - Github
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbs_5.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbs_6.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbs_7.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbt.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbt_10.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbt_11.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbt_12.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbt_13.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbt_14.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbt_2.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbt_3.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbt_4.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbt_5.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbt_6.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbt_7.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbt_8.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbt_9.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbv.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbw.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_val.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_val_2.gif
jbe2277/waf,660.0,http://github.com/jbe2277/waf/,1,1,0,0,0,0,0,0,0,https://www.github.com/jbe2277/waf/tree/master/src/System.Waf/Architecture/ModelDefinition/Architecture.uml
ochrons/diode,646.0,http://github.com/ochrons/diode/,1,0,0,0,1,0,0,0,0,https://www.github.com/ochrons/diode/tree/master/doc/images/architecture.png
orocrm/platform,624.0,http://github.com/orocrm/platform/,3,0,0,0,2,0,0,1,0,https://www.github.com/orocrm/platform/tree/master/src/Oro/Bundle/DataGridBundle/Resources/doc/backend/diagrams/datagrid_base_uml.jpg
orocrm/platform,624.0,http://github.com/orocrm/platform/,3,0,0,0,2,0,0,1,0,https://www.github.com/orocrm/platform/tree/master/src/Oro/Bundle/ImportExportBundle/Resources/doc/images/classes-diagram.png
orocrm/platform,624.0,http://github.com/orocrm/platform/,3,0,0,0,2,0,0,1,0,https://www.github.com/orocrm/platform/tree/master/src/Oro/Bundle/WorkflowBundle/Resources/doc/images/workflow-entities_classes-diagram.png
benas/gamehub.io,622.0,http://github.com/benas/gamehub.io/,1,0,0,0,0,0,0,1,0,https://www.github.com/benas/gamehub.io/tree/master/site/chesshub-sequence-diagram.jpg
code4craft/jsoup-learning,620.0,http://github.com/code4craft/jsoup-learning/,1,0,0,0,1,0,0,0,0,https://www.github.com/code4craft/jsoup-learning/tree/master/blogs/images/select uml.png
leancloud/docs,605.0,http://github.com/leancloud/docs/,1,0,0,0,1,0,0,0,0,https://www.github.com/leancloud/docs/tree/master/images/message_type_diagram.png
