Project,Contributors
BioInterchange/BioInterchange/,3.0
biolab/orange3/,30.0
Biomechanical-ToolKit/BTKCore/,4.0
bireme/opentrials/,9.0
birkz/fantasy-football/,3.0
Biscode/yard/,4.0
bitben/bitben.github.io/,2.0
Bitbored/Wake-up-Robot-Client/,2.0
bitcoupon/bitcoupon-android-client/,5.0
bitsauce/OverworldGame/,2.0
bjarnigud/verk2015/,5.0
bjcrawford/Gravity/,2.0
BjornNorgaard/I4DAB/,3.0
BjornNorgaard/I4SWD/,3.0
BjornvdLaan/liesbeth-bjorn-rogier/,3.0
Bjtrenth/ENGO500_Old/,5.0
bkbeckman/eye-tracking/,5.0
Black-Frog/ProjetAnalyse/,2.0
blackberry/BB10-WebWorks-Community-Samples/,18.0
blackberry/OGRE/,4.0
BlackburnCollege/cs212-lab-sp16/,3.0
Blackcatn13/houseDesigner/,2.0
BlackFeetTUM/Database/,2.0
BlackhoefStudios/DropIt/,2.0
Blackjack92/fhvOS/,3.0
BlackShark2015/TNT_Exams/,4.0
BlackSlashProd/Heracles-Sport/,2.0
BlackthornYugen/SoundScape/,2.0
BlackToppStudios/Mezzanine/,6.0
Blahfargl/Glubenheim/,3.0
blakeshall/499/,2.0
Blakez/android_frameworks_base/,30.0
Blakez/jollipop_frameworks_base/,30.0
Blaskon/GroupProject/,4.0
Blobymorph/ING3-Projet-JAVA-S2/,3.0
Bloody-Rabbit/Minnions/,3.0
BlueBarracudas/Deliverables/,9.0
blueblob0/GameAiSpace/,2.0
BlueBrain/RESTBridge/,4.0
BlueInt32/prez/,2.0
BlueInt32/super-sprint/,3.0
Bluerise/OpenBSD-src/,30.0
bluez-android/aosp_platform_frameworks_base/,30.0
bmael/Nashor/,2.0
bmawji3/cs2340-MULE/,2.0
bmfm/meeto-v2/,2.0
bmgorski/BrokerObserverPattern/,2.0
BMKEG/vpdmfCore/,2.0
BMKEG/vpdmfGenerator/,2.0
BMRagot/ObjetLofteur/,2.0
BMX-Nick/Chunk/,3.0
bnoi/spindle_tracker/,2.0
boblablaw/react-firenotes/,17.0
boebu/ch.bfh.bti7081.s2013.yellow/,4.0
boggdan95/HojaDeTrabajo-10/,2.0
Bojan011/group9-app/,2.0
bojoer/loadui/,4.0
bokovayagv/GroupProject_Go_IT/,4.0
bolanojo/Moviles-IIProyecto/,3.0
bombardellif/probabilistic-color-by-numbers/,3.0
bombmanual/bombmanual.github.io/,24.0
bompi88/fpgruppe27/,6.0
bongcall/Git_Rep/,6.0
bookatgithub/bookatgithub.github.io/,2.0
bookbrainz/bookbrainz-ws/,6.0
bookreader/quantlib/,30.0
boost-experimental/di/,21.0
Booster2/Booster2/,4.0
borafael/vaquita/,2.0
BORGROMz/android_frameworks_base/,30.0
borje/apmaskin/,2.0
borman/phoneme-qtopia/,2.0
bossen/P2/,7.0
bossen/P3-Program/,5.0
bounswe/bounswe2015group9/,12.0
Bowerbird/bowerbird-web/,2.0
BP2014W1/JEngine/,5.0
BPalagachev/TelerikAcademy/,2.0
bperraud/Projet-NA17/,3.0
bpmn-io/cmmn-moddle/,3.0
BProj-LMN/Bachelorprojekt/,3.0
Bradyta/TypeSpeedGame/,2.0
brahafa/MyPureDays/,2.0
Braindamage1989/kantine/,2.0
Braindamage1989/vossen-en-konijnen/,2.0
brainydexter/brainydexter.github.com/,2.0
brandonnchoii/SLogo/,4.0
brandonnchoii/VOOGASalad/,12.0
branstraub/office-boxes/,2.0
breadcrumb-lboro/group-project-pid/,2.0
brecinos/SEfall2014/,2.0
bref/bref.github.com/,3.0
Brefew/csci4448_Project/,3.0
BrendelSantos/ProjetoHotel/,5.0
Brendo94/Trabalho-JPA/,2.0
Brenin/PJ2100-Gruppe21/,6.0
brenocarvalho/MatriculaUFF/,2.0
BrenoSouza/LP2.Projeto/,3.0
BrewItYourself/Documentation/,3.0
brian-j-smith/Mamba.jl/,12.0
BrianNewsom/Design-Patterns/,3.0
bricksdev/trunk/,2.0
Brijeshrpatel9/DataGeneratorFinal/,10.0
broadcomCM/android_frameworks_base/,30.0
BrokenROM/frameworks_base/,30.0
BrokingClub/BrokingClub/,3.0
brollins90/pro160project/,2.0
BrOrlandi/SFECommerce/,3.0
broschb/cyclebrain/,2.0
browseinfo/Teknopet_server_v7/,2.0
BruceGatterman/lemeed/,3.0
bruno147/driver-ga/,5.0
Bruno26/hola-bebe/,3.0
brunobarros/mpes-reuso-basico/,2.0
brunoccst/TecnicasDeProgramacao/,2.0
brunodiniz/KSE/,2.0
BrunoLavigne/420-113-AH-DRAGONS/,6.0
BrunoMatry/cloudbook/,2.0
brunomperes/TeamE-semester2/,4.0
brunopessanha/Projeto-Final-UnB/,2.0
brunosouzasilva/INE5412-Filesystem/,4.0
bryanjimenez/empanada/,3.0
bryanpope/PuckMan3D/,4.0
bryantrobbins/baseball/,7.0
bryce09/tf700tkernel/,30.0
BryceHennen/ASEE-2015/,4.0
BS-Harou/db2013/,3.0
bstock92/ShipMate/,2.0
BSUIR350531/kosiakov/,2.0
btd1337/Modelagem01-SGA/,2.0
BTFC/ticTacToe/,6.0
btravers/Projet-Archives/,7.0
BTS2-Projet-1/BTS2-Projet-1.github.io/,5.0
btward/The_Real_Chimera/,2.0
BU-NU-CLOUD-SP16/MOC-Monitoring/,2.0
Buble1981/MyDroolsFork/,30.0
buddha87/dala_browserify/,2.0
budnyjj/university/,2.0
bugkillerz/Guava-Event-Bus/,2.0
BuildmLearn/BuildmLearn-Store/,3.0
buke/openerp-doc/,30.0
bundy-dns/bundy/,28.0
bungeni/bungeni-docs/,2.0
BuonOmo/Analogs/,2.0
buren/enduro/,6.0
Burris19/Online-Store/,2.0
busjaeger/cs423fa11grp6/,3.0
Buzdygan/ai-arena/,3.0
buzea/ProgrammingTechniques/,2.0
bvgastel/xmas/,3.0
bwahn/kubernetes/,30.0
Bwata/Tweet9001/,3.0
bwgaydon/CSCI4448-HW3/,2.0
BWMuller/COS301-MiniProject-G6-P2/,4.0
bwormley/CS151_RPS/,3.0
bwstaal/SaveVSUMLDiagramsToImageFile/,2.0
bxo/bxo.github.io/,2.0
byterom/android_frameworks_base/,30.0
BYU-NLP-Lab/topicalguide/,11.0
byui-burton/cs165-course/,3.0
c-a-m/passfault/,4.0
C-RoM-L/android_frameworks_base/,30.0
c00w/BitToll/,3.0
c1103014/sharerepository/,2.0
c1phr/cs465_transactions/,3.0
C204-242-DJSMT/Assignment-1/,5.0
C204-242-DJSMT/Assignment-2/,4.0
C3BI-pasteur-fr/python-course-1/,2.0
C3S/c3s.dev/,3.0
cacheonix/cacheonix-core/,2.0
cadencii/cadencii-nt/,2.0
cadobongda/custom-gtn/,25.0
caesarxuchao/caesarxuchao.github.io/,30.0
CAF-victara/platform_frameworks_base/,30.0
caffeine206/430FP/,3.0
caioccaa/TCC---Brunno-e-Caio/,2.0
CaioIcy/ICG_OpenGL/,3.0
caioteixeira/RedesNeurais/,2.0
cakesultancm11/android_frameworks_base/,30.0
Calleberg/Operation_5A/,4.0
calystene/COO_Project/,2.0
CalZoneVUB/Documents/,4.0
Cam0495/BulletZoneCS619/,3.0
camilorivera/Analisis_Y_Dise-o_Teleton/,5.0
camneilley/se103-game/,4.0
camptocamp/ngo-addons-backport/,30.0
camsci/meteor-pi/,2.0
Canadensys/narwhal-processor/,5.0
CanadianEngineer/HCIDrawingProgram/,2.0
CandyKat/frameworks_base/,30.0
CandyRoms/frameworks_base/,30.0
CandySiX-Testing/frameworks_base/,30.0
canonici/GL-M1/,5.0
CanvasHS/Verslag/,4.0
caojingqing/geoserc/,30.0
CapstoneTeam11/Document/,5.0
caraci/ihotel/,3.0
caratarse/caratarse-auth/,2.0
CARDENASNAVARRO/android/,2.0
Caresilabs/Laith/,5.0
CargoWizard/CargoWizard/,5.0
carlatgithub/jungle/,4.0
Carles15/Tramerbank6.0/,2.0
carlescliment/curso-symfony2/,3.0
carlogeertse/OOPDraw/,2.0
carlosrgomes/designpatterns/,2.0
carosio/poky/,30.0
CarraraRomain/Fodus/,3.0
cart92/ETS170-Group-I/,3.0
casputman/qwirkle/,2.0
cassie-rad/cassie-rad.github.io/,2.0
cassiobotaro/Trabalho_LP3/,2.0
catalin-/muxar/,2.0
catalin-/taip_social_study/,3.0
Catherine-PL/Catan/,4.0
catherinemoresco/PDFProject/,5.0
cathywu/Sentiment-Analysis/,2.0
causse/game-of-life/,3.0
cawka/ns-3-dev-ndnSIM-old/,30.0
cawka/ns-3-dev-ndnSIM/,30.0
cawka/waf-old-fork/,27.0
cawka/waf/,27.0
cbeams-archive/spring-framework-2.5.x/,5.0
cbeck88/clang/,30.0
cbenist/Tales-of-White-Wolf/,3.0
cbenoist/Slech/,2.0
cbrun/emf-compare/,2.0
cbrun/org.eclipse.sirius/,8.0
cbsrbiobank/biobank/,8.0
cbudo/UMLCreator/,2.0
cbuegr320/atmRepo/,7.0
ccruzp/TareaDeSoftware/,2.0
ccstorch/am-academia/,2.0
CCSU-CS407F15/CourseInfo/,2.0
cderoove/damp.ekeko.snippets/,3.0
cdies/labs/,2.0
CDLUC3/dash/,7.0
cdrooom/odoo/,30.0
cdut007/PMS_TASK/,2.0
CE-KMITL-OOAD-2014/Movie_Ticket_booking/,2.0
CE-KMITL-OOAD-2015/CE-SMART-TRACKER-DEV/,2.0
ceccr/chembench/,6.0
Cedric-Paris/WorldSimulator/,2.0
cedric92/INA/,3.0
CedricBm/airblio/,3.0
CedricReichenbach/DoodleDebug/,4.0
celloist/Rogue/,2.0
celtre/UWorks/,5.0
cemoses/aspnet/,24.0
cen4010-onlinecardealer/docs/,4.0
Cendrb/UTU-on-Rails/,2.0
CentauriROM/android_frameworks_base/,30.0
cerndb/wls-cli/,2.0
CERT-Polska/hsn2-commons-java/,5.0
certik/trilinos/,30.0
CFattori/cronovisor/,2.0
cfg2015/EPT-2015-2/,2.0
cfljam/VISG-course-2012/,2.0
cfriedrich/LanguageInformant/,2.0
CGAL/cgal/,30.0
cghnassia/BD50_TourDeFrance/,3.0
cgjones/android-frameworks-base/,30.0
cgsheeh/3a04_21questions/,2.0
cgstudiomap/cgstudiomap/,2.0
ch-andrei/Ise_Project_TowerDefense_Winter2014/,2.0
chaehyun/soft_engineering/,2.0
chaimt/Tikal-Java-RoadMap/,2.0
chaluja7/fixitapp/,2.0
chamocc/HDT4/,2.0
chamocc/HDT8/,3.0
champion1337/Spiderel/,2.0
ChangeVision/astah-xmi-import-plugin/,9.0
chanjettplus/Chanjet.TP/,4.0
ChantelG/Halftone/,3.0
Chanyanuch/MasterPeace/,4.0
Chaosg5/Chaos/,2.0
Chapstic/NomNet/,4.0
chapuni/lldb/,30.0
chapuni/llvm-project/,30.0
Charles-M/CompilateurPlic/,2.0
charlesfire/OS-TP3-99/,2.0
CharlesGust/Higher-Dimensions/,2.0
CharlesMcquade/cs373-idb/,3.0
CharlesTaylor/CS319-Project/,3.0
charlyAttrait/Search-Find-Project/,2.0
CharlyEtu/web-directory/,2.0
chastell/talks/,4.0
chathika/PanicPersonalitySIm/,2.0
chear/NeuroView/,5.0
cheddarhead4/los-siete-amigos/,6.0
cheerypick/pg3300/,2.0
chelmi5/Cutlery_Knights/,2.0
Chelsea-Dover/ChelsDevCamp_July27/,2.0
chenbachar/HelpApp/,3.0
chenyf/sync/,2.0
Cheppert/SMAR-LaTeX/,3.0
chetanbasuray/AirTraffic_Team2/,4.0
Chevron94/NetCrackerGames/,4.0
chevyng/OpenMRS-website/,3.0
chewett/COMP6205/,2.0
chharam/Capstone_IPM_RV/,3.0
chhh/javolution/,3.0
chibenwa/james-project/,30.0
ChienHsiangLee/book/,2.0
chiggs/UVM/,11.0
chikitulfo/apoyanos-tds/,2.0
chilliwilly/DEJ_RIFA/,2.0
chinchalupa/CSSE374-Project/,2.0
Chinchilla-Software-Com/CQRS/,8.0
chio003/Test/,13.0
chiped/MusicApp/,2.0
chippyash/Assembly-Builder/,2.0
chippyash/Currency/,2.0
chiranthan/AugmentMe/,3.0
chiss2906/pezones/,19.0
chocoyaki/gaas/,14.0
choppsv1/pyang/,2.0
chouteau/QMailer/,2.0
chrban/prosjektoppgave-cpp/,3.0
Chris-Dee/Slogo_2014/,3.0
chrisarusso/Tilthy-Rich-Compost-Website/,3.0
chrisk90/CO880/,3.0
ChrisNeveu/CobraSketch/,3.0
chrisPiemonte/car-loan/,2.0
chrissicool/l4openbsd/,2.0
ChristelleLacan/QuizZer/,4.0
christianalfoni/EmptyBox/,3.0
ChristianBlom/Pfi2/,2.0
christiandt/Secure-Chat/,2.0
christiankjaer/pop-webhelp/,3.0
ChristianoSantos/Spoken/,4.0
christiansax/MoCap/,2.0
ChristinaXiaochenXing/ChristinaXiaochenXing.github.io/,2.0
christophd/citrus/,30.0
ChristopheCluizel/PAO-Optitrack-drone/,2.0
ChristopheCluizel/projet-CASI/,2.0
ChristopheCluizel/Projet-Info-Rep-Labyrinthe/,5.0
ChristopherJamesJordan/CSCI4448HW3/,3.0
ChristopherStumm/TimHortons/,5.0
chriswait/smartHack/,2.0
chrisweb/freeMusic.zone/,2.0
chrizzTs/Who-U/,4.0
Chromlum/Piercy/,2.0
chrpapa/Patterns_JS_Seminar/,2.0
chrplr/AIP2015/,3.0
chudaol/ed-era-book-biology/,6.0
chung4018/DisenoSoftware-MRS/,3.0
ciaranmcnulty/phpspec-talk/,2.0
CiberMeal/CiberMeal/,2.0
cicerocamargo/Anahy-3/,3.0
cie0037/kaira/,7.0
Cikojack99/TampanCrew-ADBO-Project/,2.0
cinemaouvert/opp_plugins/,3.0
CingProject/Cing/,7.0
CIRCL/bgp-ranking/,4.0
cis422s14team5/WatchlistPro/,2.0
cis542/LS_DV_Routing/,3.0
CIT360-CTF/CIT360-CTF/,2.0
Civilization-CSSE376/Civilization/,2.0
cjefferies84/recipe_organizer_frontend/,30.0
cjeffery/sworsorc/,15.0
cjimenez13/Software-Design-Project-I/,2.0
cjlux/AMVU/,5.0
cjw-network/cjw_newsletter/,2.0
cjw-network/cjwpublish1411/,2.0
ckaus/EpiPy/,2.0
CKOTech/checkout-java-library/,9.0
claeis/ili2db/,18.0
claesenm/kul-systeemtheorie/,12.0
ClairaLyrae/JavaGameEngine/,3.0
Clarkson-University-FlipBook/FlipbookAnimator/,3.0
classicnerd/frameworks_base/,30.0
clbr/GrassCreature/,3.0
clbustos/PHP_Beautifier/,5.0
clebersa/2015-1-ia-muia/,2.0
cleboull/Smallworld/,2.0
clee0/Checkers/,4.0
ClemensDaCoder/PacmanBoard/,2.0
clement0210/LOG8430/,3.0
clemgaut/ProjetPoo/,2.0
clickberry/video-portal/,3.0
clif7786/hw2_a/,4.0
clinical-meteor/cookbook/,30.0
ClintEsteMadera/arco-iris/,2.0
ClintonCao/Fishy/,4.0
cliqz-oss/keyvi/,7.0
ClockworkOrigins/m2etis/,2.0
ClockWorkTeam/ClockWork/,7.0
cloudflare/gokeyless/,27.0
cloudfoundry-attic/cf-docs/,30.0
cloudfoundry/docs-cloudfoundry-concepts/,30.0
cloudfoundry/docs-dev-guide/,30.0
CloudHuang/spring-framework-research/,30.0
cloudify-cosmo/getcloudify.org/,30.0
CloudOpting/cloudopting-deploy-services/,3.0
clouway/clouwaypush/,7.0
clun/ff4j-extra/,3.0
cly753/tinyMoblima/,3.0
CMCDelhiQuasar/Quasar-28-April-2AM/,2.0
CMCDelhiQuasar/Quasar-3-June/,2.0
CMCDelhiQuasar/Quasar13MayRepo/,2.0
CMPE277Project/SkiBuddies/,3.0
CMPUT-301F14T10/project/,6.0
CMPUT301F13T01/CreateYourOwnAdventure/,5.0
ryanwawr/CliffGuard/,2.0
RyanYoung25/UndiscoveredWorlds/,3.0
Ryccoo/agents-muni/,2.0
rymdo/SuperEpicSpelOfDoom/,2.0
Ryouzanki/rapportC/,2.0
ryselis/PSI_svetaine/,4.0
s19015/Scrum4u/,3.0
s1ck/GraphDB-Benchmark-IR/,3.0
s2team/votesapp/,3.0
s2tephen/huntr/,4.0
S3FA/pyrokinesis/,3.0
SabatinoMasala/PRESENTATION05/,2.0
sabaxuee/major-project/,2.0
saboor989/Advance-Software-Engineering-Project/,2.0
Sabrout/Kenllen/,8.0
sabrsorensen/Compiler/,3.0
sabski/sirmaJavaTutorialGit/,2.0
sacdallago/it.unibz.inf.sesp.Task/,3.0
sachinkushwaha/LibraryMgmtSystem/,2.0
sacroimper/ARCowabunga/,4.0
SADE-DSI/Sade/,3.0
saeg/experiments/,2.0
safir-medjeber/prog_reseau/,2.0
SafirSDK/safir-sdk-core/,5.0
safiscet/SE-DBS-15-16/,3.0
safri-framework/safri-player/,3.0
Safrout1/DropOffice/,5.0
saga-project/BigJob/,6.0
sahilkhan99/AppRepositoryData/,2.0
sahilTakiar/gobblin/,30.0
saifulwebid/DaftarHadirAnggotaHimpunan/,3.0
saifulwebid/TilangWithQRCode/,5.0
saihe/OrderSystem/,2.0
saileshsp/first_app/,2.0
saintsantos/argyle_frameworks_base/,30.0
sajantanand/Laundry-View-WFU/,3.0
sajit/hacks/,2.0
saki4510t/UVCCamera/,7.0
sakirtemel/international-office-manager/,2.0
Sakr/auctionSystem/,2.0
SakuraSound/MADden/,2.0
Salaboy/smart-tasks/,4.0
salaxy/JProject2011/,2.0
salaxy/LiveShareChart/,2.0
SalemBelanes/bookstore/,4.0
SalfordTrackingSystem/assignment1_MVC/,4.0
sallareznov/scalagent/,2.0
sallymasry/group15.MDSD/,2.0
salmuz/graphz/,2.0
Salome-Maro/TraceabilityManagement/,4.0
saltlab/Camellia/,2.0
saltlab/clematis/,5.0
saltstack/raet/,16.0
SalvageMod/platform_frameworks_base/,30.0
salvinha/UOCPFC_Eduard_Salva/,2.0
Sam1991/EPI/,2.0
Samara94/dolibarr/,30.0
sambea/PL-BrasRobotique1-2014/,2.0
SamDavies/Smart-Lock/,6.0
sami-salwa/mhxanikh/,2.0
SamirDurvasula/GuitarAmp/,3.0
samirouahhabi/teamAYICTriviaMaze/,3.0
Samnitium/WEB-gene-expression/,2.0
SamsungGalaxyTab2-AOSP/aosp_frameworks_base/,30.0
samsungsamiio/samsungsami.io/,8.0
samtipton/cs373-idb/,6.0
samuelhug/cs_142_final_project/,2.0
samueljero/snake/,30.0
SamuraiSusy/greed_ver1/,2.0
sanatem/Jbici/,2.0
SanchitSaini/Graphical-Calculator/,4.0
sandra-sherif/The-Challenger/,6.0
SandroMiccoli/BigTwo/,2.0
SandroMiccoli/Smart-visual-agents/,4.0
sangbinlee/spring2.5IbatisFileupload/,2.0
sangnvus/2015FALLIS02/,3.0
sangnvus/2015FALLJS01/,4.0
sanjaypaudel007/LibraryManagement/,2.0
sanmen1593/AccountingBook/,2.0
sanq-gh-work/templates/,3.0
santanche/java2learn/,3.0
santiagoladavaz/Grupo-E-022015/,2.0
santiHerranz/Enginyeria-Software-I/,2.0
santisamra/protocssc/,3.0
santos-rafaelcarlos/Projeto_de_Bloco/,2.0
santos10-dev/android_frameworks_base/,30.0
sapphireworks/website-generator/,7.0
SarahMehddi/HelloWorld/,19.0
sarahmele/ch.bfh.btx8081.w2015.green/,7.0
sarakirkeby/Semester-Projekt-3/,6.0
sarantapichos/faircoop-market/,2.0
SarathkumarJ/OSHMS/,30.0
sard88/Biblioteca_ITST_Colombia/,2.0
Saroko-dnd/My_DZ/,3.0
SaRoTy/TER-L3/,3.0
sarryPTI10D/pengenalan-rambu-lalu-lintas/,4.0
sarzwest/spotting-text/,2.0
SAS-Systems/Unveiled-Documentation/,4.0
sasa333/course-fantastic/,2.0
SashaGitPro/FootballManager/,2.0
SashaMoe/Ragdoll/,2.0
sasukenerd/defaultrep/,2.0
satbirkira/financeapp/,3.0
SATToSE/SoTeSoLa2012/,4.0
satyacha/aosp_mads/,30.0
saul-calderonramirez/ImProc_suite/,2.0
saurid/UpMvc2/,2.0
savoirfairelinux/ring-daemon/,30.0
Sawyaas/OOAD_GameProject/,3.0
sayan801/DailyNoteBook/,6.0
sayan801/fitnesstracker/,5.0
sayan801/ShoppingMallManagementSystem/,8.0
SaymV/diabolical/,7.0
sbcho/sdet-team2/,4.0
sbeleuz/ICS3U/,2.0
sbhat5/sandy/,12.0
sbhatore/SSAD46/,5.0
sbobek/achievement-unlocked/,2.0
SBR2015/ootalk/,9.0
sbrissen/tsmpoolparty_frameworks_base/,2.0
SC12K/PFM_IPv6Disc/,2.0
scale-proactive/scale-proactive/,10.0
scanniza/DesktopHipster/,4.0
scanniza/tda593/,5.0
scarrobin/MakeSense-Old/,2.0
scarrobin/MakeSense-Web/,2.0
SCCapstone/SCChildcare/,5.0
schab/calcSheets/,5.0
schaeferp/mda-sd2sm/,2.0
schancel/gameserver/,2.0
scheidm/quest-till-done/,3.0
Schischu/aosp_android_frameworks_base/,30.0
Schischu/omni_android_frameworks_base/,30.0
schmokko/Dezibel/,6.0
schnej7/GoodVibrations/,3.0
schnizer/gameoflife/,3.0
schubergphilis/Seccubus_v2/,16.0
Schuttrim/Tankstelle/,2.0
SciAid/SciAid_desktop/,3.0
scikit-beam/scikit-beam/,27.0
scipy-conference/scipy_proceedings_2015/,30.0
Sciumo/javolution_svn/,2.0
scman1/portal-UPP/,6.0
Scombster/Zatch/,4.0
scorpionis/ubuntu-kubernetes-mesos/,30.0
scorpiotree/scorpiotree.github.io/,30.0
scottmeng/cache_coherence_simulation/,3.0
scottplus/ChatServer/,2.0
ScribesZone/ScribesTools/,2.0
Scrizzard/FloweringTrees/,3.0
scubasam/ERS/,4.0
scuitino/Proyecto-PHP/,4.0
sculptor/sculptor.github.io/,30.0
scumpinatos/RooManageR/,2.0
scvalencia/aura_backend/,2.0
scvalencia/swap/,2.0
scybulski/tank-clone/,6.0
sczyyang/TestRepository/,4.0
SDAInfiniteQuest/POO2/,2.0
sdiemert/PrescribingDSL/,2.0
sdpgroup7/documents/,6.0
SE-Beleggruppe/Beleg_Planung/,6.0
SeaCloudsEU/SoftCare-Case-Study/,2.0
seagoatvision/seagoatvision/,15.0
seam/remoting/,11.0
SeamlessDistribution/SeamlessDistribution.github.io/,9.0
seaniemc/OOProjectRailFence/,2.0
seanmead/HurdleJumpr/,3.0
SeanPWLynch/Muroidea/,2.0
seans888/Bgy-Project/,6.0
seans888/Communitech/,4.0
seans888/my-project-fullbright/,2.0
seans888/SMF-Project/,13.0
SeaSharpe/Design/,6.0
SeaSharpe/Disposable/,2.0
SeaSharpe/RequirementAnalysis/,7.0
Seb-Hub/MobileDevicesProject/,5.0
seb1b/S-BPM_VR/,7.0
seba--/sugarj/,6.0
Seba0691/jupyter-notes/,2.0
Seba0691/Tinfinity/,3.0
Seba1691/PIV/,2.0
seba8098/fermat/,30.0
seba992/HMApp/,3.0
sebachk/Compiladores/,3.0
sebastianbergmann/phpunit-documentation/,30.0
sebastianfeldmann/phpbu-documentation/,11.0
SebastianKarstensen/CIS454/,2.0
sebastianrahtz/oxgarage/,3.0
sebastianruder/BART/,3.0
SebastianSz84/UADE-TP-AD-2015/,4.0
sebastienbaur/FinalProject_Group1_FearnleyMartin_SebastienBaur/,2.0
sebbekarlsson/CasinoGame/,2.0
sebhero/p6/,5.0
SebHeuze/GLOEiffelProject/,2.0
SebHeuze/ProjetReseau2013/,2.0
sebkopf/isoread/,2.0
seblefevre/testerman/,3.0
sebnil/Sketchy-Truck/,4.0
sebrdam/SAD_minor_0883388_0882342/,2.0
sebyg/COS-301-Group-5B/,5.0
SECH-Tag-EEXCESS-Browser/closed---Documentation---/,6.0
securesystemslab/forward-cfi-clang/,30.0
seeburger-ag/jbossts/,3.0
seednull/BarcodeScanner_TrappFuhrmann/,2.0
seek-for-android/platform_frameworks_base/,30.0
seguijoaquin/7509-AnInfo/,6.0
SEhomeworkTeamUnnamed/MIA/,4.0
seitak/yocto_mx6_sabre_automotive_submain/,30.0
sejlermonster/problematic/,6.0
Sekiphp/ZSWI_monitoring/,4.0
sekys/ivda/,2.0
selig/qea/,4.0
Selora/tracecompass/,28.0
senacor/reactive-server/,12.0
SeNDA-UAB/aDTNPlus/,3.0
SenecaCDOT-BigBlueButton/SenecaBBB/,5.0
senilica/LostVaults/,4.0
senior-design-crowd/crowdify/,3.0
senkz/PaF-Relationship-helper-for-usecases-and-UML/,4.0
seojangho/android_platform_frameworks_base/,30.0
seomin/MSNS/,2.0
SeoulTech/Manal/,2.0
SEProjectWebsite/SEProjectWebsite/,3.0
sequenceiq/cloudbreak-docs/,17.0
sequenceiq/cloudbreak/,25.0
SeqWare/seqware/,18.0
Serega290696/Crypto/,2.0
SerendipifyMe/GroupDiscoveryAppTemplate/,2.0
serfess/khai_gamification/,5.0
SergenN/Kantine/,2.0
SergenN/ProjectVK/,4.0
SergenN/WeatherX/,3.0
SergeyTeplyakov/VerificationFakes/,2.0
serginho10/TASMC/,2.0
sergioarispejulio/SistemaWebPumpCBBA/,2.0
sergioCoritel/NewCodingtonWeb/,8.0
sergioprates/guiadoapostador/,3.0
seriesrenamer/seriesrenamer/,4.0
SeriousBusiness/Lost-Cities/,3.0
servinglynk/hmis-lynk-open-source-docs/,7.0
sesanchezr/morfo/,5.0
sesso-star/EPs/,2.0
sethc23/aporo/,3.0
SethosII/android-spielesammlung/,2.0
sevenfold-IS2011/woty_SGP/,4.0
severin-lemaignan/makehuman-commandline/,6.0
sewonist/sewonist.github.io/,21.0
Sfhillier/Sort-It-Out/,2.0
sfl-org/gam/,3.0
sflyphotobooks/crp-batik/,2.0
SFRJ/edge2edge/,2.0
sfrsebastian/Estructuras-de-datos/,3.0
sfugamedev/Surrey_GGO_2012/,5.0
sghmk12/SampleRobotModel/,2.0
Sh4rK/szoftlab4/,4.0
Sha-Software/Vulture/,2.0
shackspace/one_button/,2.0
shadeven/cerebrumehr/,2.0
shadewly/zhaoshifu/,2.0
shadow-robot/sr-ronex/,14.0
Shadowrithmic/JAdventure/,25.0
shadym/ebank/,4.0
shamanDevel/ProceduralTerrain/,2.0
shamidi/SharedHereFork/,5.0
Shannow13/Archi_Log/,3.0
shaolinrabbi/FollowME/,2.0
Shardic/DatenbankenMI2015/,3.0
sharegov/opencirm/,8.0
shark555/Resources-Reservation-System/,2.0
sharminelow/scopee/,4.0
sharow11/ProjektGrupowy/,3.0
SharpCX/PDF.NET/,2.0
Shaumik-Ashraf/JASC/,4.0
shawnaten/cs3773Project/,4.0
shawnaten/cs4733Project/,3.0
Sheba/MAI_SCADA/,5.0
ShefMaxi/UmlAssessmentTool/,6.0
shentianyi/railsEpm/,5.0
shentok/marble/,30.0
sherlypermata/Chips-challenge/,3.0
shexbeer/UniManager/,5.0
Shifdra/LogicTeamFiles/,2.0
shihyu/MyTool/,2.0
ShinDarth/HTML-to-BBCode-converter/,2.0
shinypichu88/CS3343-Cal/,6.0
ShinyROM/android_platform_frameworks_base/,30.0
ShipSoft/FairShip/,30.0
ShiroYacha/ProjPhoto/,2.0
shishkovIS/K/,4.0
shitalma/UNO/,5.0
shivaghose/ME552/,4.0
shjinshen/PackageWorkStation_Beta/,4.0
shojimonk/The-Open-WEI/,2.0
shomah4a/trolle/,2.0
shopware/devdocs/,30.0
shorelinedev/aosp_frameworks_base/,4.0
Shounin/WikiApp/,5.0
showcheap/SiPUS/,3.0
shraddha-patel/DGWithSpark/,9.0
shraddha-patel/SparkDistributor/,9.0
shravan20084312/citygram/,23.0
ShravyaGaddam/Software-Engineering/,2.0
ShreiderWalter/FinalTask/,2.0
shreyasvalmiki/SEProject/,3.0
Shruthi218/Data-Structures/,2.0
shu8i/Hot-Potatoes/,3.0
shuaffy/BEWD-Final-Project/,3.0
shuai/xiefen-s-portfolio/,2.0
shubham93g/Object-Oriented-Development-Project/,2.0
shubhcollaborator/newpodam/,13.0
shujukuss/codehub/,3.0
shumash/db_project/,3.0
shunenchen/CSE218-2013-WINTER/,4.0
Shuntor/Java_L3/,4.0
